cik,sub_name,parent_name,first_seen,first_filing,time_out,batch_size,cross_cik,label,match_jaccard,wikidata_company,wikidata_acquirer
0000882287,brian center health & retirementwilson inc,mariner post acute network inc,1996-12-19,1996-12-19,Between 1996-12-19 and 1997-12-29,62,0,0,0.0,,
0000029915,dow chemical (zhangjiagang) co ltd,dow chemical co de,2001-03-09,1995-03-23,Between 2001-03-09 and 2002-03-20,64,0,0,0.0,,
0001023128,lithia of concord inc,lithia motors inc,2011-03-07,1996-11-22,Between 2011-03-07 and 2012-02-24,3,0,0,0.0,,
0001142750,connetics communications llc,amn healthcare services inc,2023-02-22,2001-07-16,Between 2023-02-22 and 2024-02-22,1,0,0,0.0,,
0000918958,crescent plaza restaurant gp llc,crescent real estate equities co,2007-03-16,1997-03-21,Active as of 2007-03-16,25,1,0,0.0,,
0000062709,san j&h marsh & mclennan,marsh & mclennan companies inc,1999-03-31,1995-03-28,Between 1999-03-31 and 2000-03-29,565,0,0,0.0,,
0000853266,mosaix fsc inc,digital systems international inc,1998-03-13,1996-10-25,Active as of 1998-03-13,3,0,0,0.0,,
0001022438,trammell crow mall marketing,trammell crow co,1999-03-31,1997-09-03,Between 1999-03-31 and 2000-03-29,172,0,0,0.0,,
0000857323,curacao lottery company nv,gtech holdings corp,2006-04-20,1997-05-23,Active as of 2006-04-20,41,0,0,0.0,,
0001520697,partnerships in care (cleveland 1) limited,acadia healthcare company inc,2016-02-26,2011-07-13,Between 2016-02-26 and 2016-05-20,279,1,0,0.0,,
0001134538,accenture holdings sas,accenture ltd,2005-10-31,2001-07-02,Between 2005-10-31 and 2006-10-18,25,0,0,0.0,,
0001385187,a&e products south africa limited,covidien ltd,2007-04-20,2007-04-20,Between 2007-04-20 and 2007-12-13,195,1,0,0.0,,
0000716934,branch in germany,converse inc,1997-03-24,1997-03-24,Between 1997-03-24 and 1999-04-01,13,0,0,0.0,,
0000915778,dsp r&d ireland ltd,dsp group inc de,2006-03-15,2001-04-02,Between 2006-03-15 and 2008-03-17,1,0,0,0.0,,
0000708819,mcdermott international investments co inc,mcdermott international inc,1996-06-06,1996-06-06,Between 1996-06-06 and 1998-06-16,20,0,0,0.0,,
0000896159,ace usa inc,chubb ltd,1998-12-18,1996-12-20,Between 1998-12-18 and 2000-03-29,35,0,0,0.0,,
0001873529,cdlc texas llc,kindercare learning companies inc,2024-09-06,2021-10-18,Active as of 2024-09-06,25,0,0,0.0,,
0001678393,wincor nixdorf business administration center gmbh,diebold sst holding company inc,2016-09-23,2016-09-23,Active as of 2016-09-23,202,1,0,0.0,,
0000913665,american mobile radio corporation,terrestar corp,1997-03-28,1997-03-28,Between 1997-03-28 and 1998-03-31,4,0,0,0.0,,
0001289790,mic oakdale holdings llc,macquarie infrastructure corp,2018-02-21,2004-06-07,Between 2018-02-21 and 2019-02-20,148,0,0,0.0,,
0001140536,hilb rogal & hobbs of new jersey llc,willis group holdings ltd,2009-02-27,2001-05-15,Between 2009-02-27 and 2010-03-01,136,0,0,0.0,,
0001070750,host kierland lp,host hotels & resorts inc,2011-02-24,1999-03-26,Between 2011-02-24 and 2012-02-22,39,1,0,0.0,,
0000871763,manpower republique tcheque,manpowergroup inc,2000-03-30,1997-03-31,Between 2000-03-30 and 2001-04-02,58,0,0,0.0,,
0000701856,safety kleen envirosystems company,laidlaw environmental services inc,1998-06-24,1997-10-31,Between 1998-06-24 and 1998-10-29,22,1,0,0.0,,
0001556748,wrapid specialty inc,aon corp,2013-03-29,2013-03-29,Active as of 2013-03-29,773,1,0,0.0,,
0001499832,townsquare media bozeman llc,townsquare media inc,2014-07-14,2014-07-14,Between 2014-07-14 and 2016-02-26,199,0,0,0.0,,
0000081020,duke srng ma1 llc,psi energy inc,2022-02-24,1994-03-21,Between 2022-02-24 and 2023-02-27,23,1,0,0.0,,
0000040533,general dynamics ordnance and tactical systems simunition operations inc,general dynamics corp,2007-02-23,1994-03-29,Between 2007-02-23 and 2008-02-22,21,0,0,0.0,,
0000101829,ie pe ge bv,united technologies corp de,2007-02-08,1996-03-28,Between 2007-02-08 and 2008-02-07,14,0,0,0.0,,
0000736157,tds ventures inc,time warner inc,1994-03-30,1994-03-30,Between 1994-03-30 and 1996-03-22,218,0,0,0.0,,
0000764065,cliffs inc,cliffs natural resources inc,1994-03-28,1994-03-28,Between 1994-03-28 and 1996-03-26,58,0,0,0.0,,
0001268904,etrials inc,etrials worldwide inc,2009-03-11,2009-03-11,Active as of 2009-03-11,2,1,0,0.0,,
0000059558,the lincoln financial group inc,lincoln national corp,1994-03-30,1994-03-30,Between 1994-03-30 and 1996-03-27,38,0,0,0.0,,
0001109304,armstrong world industries canada ltd,armstrong holdings inc pa,2002-03-08,2002-03-08,Between 2002-03-08 and 2003-03-19,56,1,0,0.0,,
0001103982,cadbury adams distribuidora s de rl de cv,kraft foods inc,2012-02-27,2001-03-16,Between 2012-02-27 and 2013-02-25,26,0,0,0.0,,
0001408287,acuity enterprise llc,zep inc,2010-11-08,2007-10-01,Between 2010-11-08 and 2012-11-08,4,0,0,0.0,,
0001623595,aed investments inc,atlas energy group llc,2015-01-30,2015-01-30,Between 2015-01-30 and 2015-03-27,38,1,0,0.0,,
0000902739,bourne four productions llc,nbcuniversal media llc,2011-05-13,2007-01-18,Between 2011-05-13 and 2013-02-21,771,1,0,0.0,,
0001792044,mylan brasil distribuidora de medicamentos ltda,viatris inc,2021-03-01,2020-01-21,Between 2021-03-01 and 2022-02-28,234,1,0,0.0,,
0000011199,mactac canada limitedlimitee,bemis co inc,1999-03-30,1999-03-30,Between 1999-03-30 and 2000-03-29,45,0,0,0.0,,
0000106618,arlon inc,handy & harman ltd,2007-10-18,1997-03-11,Between 2007-10-18 and 2008-03-31,28,1,0,0.0,,
0001662972,province kent oh llc,blackstone real estate income trust inc,2018-10-26,2016-08-10,Between 2018-10-26 and 2018-11-21,291,1,0,0.0,,
0000917491,faro technologies canada inc,faro technologies inc,2015-02-25,1997-08-06,Between 2015-02-25 and 2016-02-29,6,0,0,0.0,,
0001048286,state:,marriott international inc md,2001-03-16,1998-02-13,Between 2001-03-16 and 2001-12-10,16,1,0,0.0,,
0000103682,dominion carolina gas services inc,virginia electric & power co,2017-02-28,2003-03-20,Between 2017-02-28 and 2018-02-27,65,1,0,0.0,,
0000949298,11th & sansom parking corporation,central parking corp,1997-12-29,1996-12-24,Between 1997-12-29 and 1998-12-29,167,0,0,0.0,,
0001308161,12 men of xmas productions inc,news corp,2009-08-12,2005-09-01,Between 2009-08-12 and 2010-08-06,101,0,0,0.0,,
0000750556,onb site 48 landlord llc,suntrust banks inc,2008-02-20,1995-02-22,Between 2008-02-20 and 2009-03-02,126,0,0,0.0,,
0001364479,hertz equipement finance sas,hertz global holdings inc,2007-03-30,2007-03-30,Between 2007-03-30 and 2008-02-29,104,1,0,0.0,,
0000004457,u haul co of florida 9 llc,amerco nv,2016-05-25,1996-06-28,Between 2016-05-25 and 2017-05-24,33,0,0,0.0,,
0000914444,catalina corp,sun international hotels ltd,2001-09-21,1996-11-01,Between 2001-09-21 and 2005-11-23,38,1,0,0.0,,
0001524607,mpt of hartsville capella llc,mpt operating partnership lp,2016-02-29,2012-02-29,Between 2016-02-29 and 2017-03-01,54,1,0,0.0,,
0000799292,mi homes service corp,m i schottenstein homes inc,2004-03-10,1997-03-31,Between 2004-03-10 and 2005-03-09,24,0,0,0.0,,
0001551152,knoll pharmaceutical company,abbvie inc,2012-11-30,2012-11-30,Between 2012-11-30 and 2013-03-15,94,1,0,0.0,,
0000097854,t&b gyarto kft,thomas & betts corp,2009-02-17,1996-03-29,Between 2009-02-17 and 2010-02-16,54,0,0,0.0,,
0001004980,phoenix project llc,pg&e corp,2002-03-05,1996-12-23,Between 2002-03-05 and 2003-02-27,266,1,0,0.0,,
0001551152,anterios inc,abbvie inc,2021-02-19,2012-11-30,Between 2021-02-19 and 2022-02-18,202,1,0,0.0,,
0000831001,associates home equity services inc,citigroup inc,2001-03-14,1994-03-31,Between 2001-03-14 and 2002-03-12,516,1,0,0.0,,
0000736157,summit communications group inc,time warner inc,1996-03-22,1994-03-30,Active as of 1996-03-22,54,1,0,0.0,,
0001092223,merksamer jewelers inc,mini mart inc,1999-08-20,1999-08-20,Active as of 1999-08-20,88,1,0,0.0,,
0000765880,mob 53 of tennessee llc,healthpeak properties inc,2007-02-13,1996-02-06,Between 2007-02-13 and 2008-02-12,528,0,0,0.0,,
0001678531,the sun city az endoscopy asc llc,envision healthcare corp,2017-03-01,2017-03-01,Between 2017-03-01 and 2018-03-01,759,1,0,0.0,,
0001630031,brixmor ga albany plaza llc,brixmor operating partnership lp,2015-02-19,2015-02-19,Between 2015-02-19 and 2016-02-29,618,1,0,0.0,,
0000001800,knoll pharma unlimited,abbott laboratories,2006-02-22,1994-03-03,Between 2006-02-22 and 2007-02-23,41,0,0,0.0,,
0001034563,f m motorparts limited,icahn enterprises holdings lp,2015-02-27,2005-03-31,Between 2015-02-27 and 2016-02-29,91,1,0,0.0,,
0001488139,kp tracy medical offices solar llc,ameresco inc,2021-03-02,2010-05-28,Between 2021-03-02 and 2022-03-01,158,0,0,0.0,,
0000019353,fashion bug plus #964 inc,charming shoppes inc,2000-04-28,1995-04-24,Between 2000-04-28 and 2001-05-04,1029,0,0,0.0,,
0000103730,vishay hungary elektronikai kft,vishay intertechnology inc,2007-02-27,1997-03-27,Between 2007-02-27 and 2008-02-27,8,0,0,0.0,,
0001071739,maryland collaborative care transformation organization inc,centene corp,2021-02-22,2001-10-09,Between 2021-02-22 and 2022-02-22,92,1,0,0.0,,
0001015551,sprint hong kong limited,sprint spectrum l p,2021-03-30,1997-03-31,Between 2021-03-30 and 2021-04-21,197,1,0,0.0,,
0000891103,home shopping europe en het nederlands nv,iacinteractivecorp,2004-03-16,1997-04-14,Between 2004-03-16 and 2005-03-16,78,1,0,0.0,,
0000051644,csi (australia) pty limited,interpublic group of companies inc,1998-03-26,1994-03-30,Between 1998-03-26 and 1999-03-26,297,0,0,0.0,,
0000892553,bond acquisition holdings limited,chart industries inc,2024-02-28,1998-03-19,Active as of 2024-02-28,27,0,0,0.0,,
0000072971,wells fargo financial acceptance wyoming inc,norwest corp,2003-03-14,1994-03-08,Between 2003-03-14 and 2004-03-12,106,0,0,0.0,,
0000078003,pfizer llc,pfizer inc,1994-03-25,1994-03-25,Between 1994-03-25 and 1996-03-29,127,1,0,0.0,,
0001476719,crumbs 42nd street ii llc,57th street general acquisition corp,2011-05-11,2011-05-11,Between 2011-05-11 and 2012-03-30,50,0,0,0.0,,
0000065350,corporation organized for nuclear experimental,metropolitan edison co,2000-03-20,1995-03-10,Between 2000-03-20 and 2001-03-21,2,1,0,0.0,,
0001639315,fc encore st cloud llc,ohi healthcare properties limited partnership,2020-02-28,2018-02-23,Active as of 2020-02-28,147,1,0,0.0,,
0000314203,gold bar enterprises llc,mcewen mining inc,2019-02-20,2006-04-07,Between 2019-02-20 and 2023-03-14,4,0,0,0.0,,
0000315293,nicholson leslie energy resources limited,aon plc,1996-04-01,1996-02-12,Between 1996-04-01 and 1997-03-26,658,0,0,0.0,,
0001434620,interval international holdings mexico sa de cv,interval leisure group inc,2008-08-01,2008-08-01,Between 2008-08-01 and 2009-03-31,45,1,0,0.0,,
0001755672,pioneer blã© sarl,corteva inc,2019-05-06,2019-05-06,Between 2019-05-06 and 2020-02-14,252,1,0,0.0,,
0000771497,abm facility services company,abm industries inc de,1998-01-29,1998-01-29,Between 1998-01-29 and 1999-01-28,39,0,0,0.0,,
0000915913,albemarle italy srl,albemarle corp,2012-02-22,1997-03-27,Between 2012-02-22 and 2013-02-15,29,0,0,0.0,,
0001618563,mt hood mini storage llc,national storage affiliates trust,2015-04-20,2015-04-20,Between 2015-04-20 and 2016-03-10,127,0,0,0.0,,
0001274055,cm gray town 1 3064 llc,desert capital reit inc,2010-03-23,2006-01-24,Between 2010-03-23 and 2011-03-18,17,0,0,0.0,,
0000855876,sky financial solutions inc,sky financial group inc,2002-03-29,1996-08-05,Between 2002-03-29 and 2003-03-03,25,0,0,0.0,,
0001678531,sheridan healthcare inc,envision healthcare corp,2017-03-01,2017-03-01,Between 2017-03-01 and 2018-03-01,759,1,0,0.0,,
0000831001,vidacos nominees limited,citigroup inc,1999-03-08,1994-03-31,Between 2000-03-10 and 2000-06-30,895,0,0,0.0,,
0001019878,acnielsen reklame statistikk as,acnielsen corp,1999-03-25,1996-10-07,Between 1999-03-25 and 2000-03-27,89,0,0,0.0,,
0001139187,fedex supply chain services inc,caribbean transportation services inc,2001-04-30,2001-04-30,Active as of 2001-04-30,119,1,0,0.0,,
0001091862,crompton bv,chemtura corp,2003-03-20,2000-03-30,Between 2003-03-20 and 2004-03-16,25,0,0,0.0,,
0001317577,pike electric corporation pike electric inc,pike electric corp,2005-07-12,2005-07-12,Between 2005-07-12 and 2005-07-22,4,0,0,0.0,,
0001581068,brixmor new chastain corners sc llc,brixmor property group inc,2013-08-23,2013-08-23,Between 2013-08-23 and 2014-03-12,618,1,0,0.0,,
0001359841,hanes benelux bvbasprl netherlands branch,hanesbrands inc,2018-02-09,2006-07-25,Between 2018-02-09 and 2019-02-11,40,0,0,0.0,,
0000217346,textron financial canada funding corp,textron inc,2002-03-14,1996-03-14,Between 2002-03-14 and 2003-02-27,35,1,0,0.0,,
0000897743,stratosphere advertising agency,stratosphere corp,1999-03-17,1997-03-31,Between 1999-03-17 and 2004-08-12,3,1,0,0.0,,
0000876883,72andsunny nl bv,mdc partners inc,2012-03-15,2004-05-10,Between 2012-03-15 and 2013-03-07,28,0,0,0.0,,
0000061138,surface treatments ltd,macdermid inc,2006-03-13,1995-06-27,Active as of 2006-03-13,15,1,0,0.0,,
0001046356,selectbuild mid atlantic llc (6733% ownership) (previously wbc mid atlantic llc),building materials holding corp,2007-02-21,2006-02-27,Between 2007-02-21 and 2008-03-11,11,0,0,0.0,,
0000020171,chubb executive risk inc,chubb corp,2000-03-27,1994-03-29,Between 2000-03-27 and 2001-03-27,5,1,0,0.0,,
0001796209,fire safety first bv,api group corp,2021-03-24,2020-04-02,Between 2021-03-24 and 2022-03-01,42,0,0,0.0,,
0000883701,finova lease receivables llc,finova group inc,2001-04-17,1994-03-10,Between 2001-04-17 and 2002-03-15,13,1,0,0.0,,
0000873594,ross systems france sa,ross systems incca,1996-09-27,1996-09-27,Between 1996-09-27 and 1997-09-29,9,0,0,0.0,,
0000007536,a arrow electronics uk holding bv,arrow electronics inc,2000-03-30,1997-03-27,Between 2000-03-30 and 2001-03-30,13,0,0,0.0,,
0000068505,motorola canada limited,motorola solutions inc,1996-03-22,1996-03-22,Between 1996-03-22 and 1997-03-25,37,0,0,0.0,,
0000051644,media holdings bv,interpublic group of companies inc,2000-03-24,1994-03-30,Between 2000-03-24 and 2001-03-30,507,0,0,0.0,,
0000882184,no 12 inc,horton d r inc de,1997-12-08,1996-12-20,Between 1997-12-08 and 1998-12-10,57,0,0,0.0,,
0000063908,restaurantes mcdonalds sau,mcdonalds corp,2019-02-22,1994-03-29,Active as of 2019-02-22,5,0,0,0.0,,
0000029905,dover refrigeration & food equipment segment inc,dover corp,2021-02-12,1994-03-30,Between 2021-02-12 and 2022-02-11,26,0,0,0.0,,
0001039934,armor products holdings limited,international center for safety education inc,2004-01-07,2004-01-07,Active as of 2004-01-07,62,1,0,0.0,,
0000067887,moog sarl (95% moog inc; 5% moog gmbh),moog inc,2021-11-15,2021-11-15,Between 2021-11-15 and 2022-11-14,51,0,0,0.0,,
0001570585,xb facilities bv,liberty global plc,2015-02-13,2014-02-13,Between 2015-02-13 and 2016-02-16,82,0,0,0.0,,
0000889409,advance aircraft company inc,discount auto parts inc,2002-01-22,1997-09-02,Active as of 2002-01-22,7,1,0,0.0,,
0000926660,12955 e montview llc,aimco properties lp,2024-02-16,1998-06-22,Active as of 2024-02-16,71,0,0,0.0,,
0001474627,newegg tech (shanghai) co ltd,newegg commerce inc,2021-11-15,2009-11-12,Active as of 2021-11-15,14,1,0,0.0,,
0000859368,ha north american sales ab,medicis pharmaceutical corp,2003-09-29,1996-08-15,Between 2003-09-29 and 2004-09-10,5,1,0,0.0,,
0001678531,northeast surgical care of newington llc,envision healthcare corp,2017-03-01,2017-03-01,Between 2017-03-01 and 2018-03-01,759,1,0,0.0,,
0000350750,bertram & graf gmbh,bairnco corp de,1996-03-27,1996-03-27,Between 1996-03-27 and 1997-03-20,9,1,0,0.0,,
0001419581,federal mogul motorparts taiwan co limited,federal mogul holdings corp,2015-02-27,2008-03-13,Between 2015-02-27 and 2016-02-29,64,1,0,0.0,,
0000894972,clear channel holding italia spa,amfm inc,2009-03-30,1997-03-28,Active as of 2009-03-30,295,1,0,0.0,,
0001420800,brunner corporation,enovis corp,2013-02-19,2008-03-11,Between 2013-02-19 and 2014-02-12,48,0,0,0.0,,
0001166388,cognyte systems ltd,verint systems inc,2021-03-31,2002-03-22,Between 2021-03-31 and 2022-03-29,15,0,0,0.0,,
0000818479,degudent gmbh,dentsply sirona inc,2008-02-25,1996-04-01,Between 2008-02-25 and 2009-02-20,40,0,0,0.0,,
0000086312,4 the john nuveen company,st paul companies inc mn,1998-03-27,1994-03-18,Between 1998-03-27 and 1999-03-31,39,0,0,0.0,,
0000089107,smc spe 1 inc,service merchandise co inc,1997-03-21,1994-03-31,Between 1997-03-21 and 1998-03-30,3,0,0,0.0,,
0001299109,boyd racing llc,peninsula gaming llc,2016-12-20,2004-07-30,Between 2016-12-20 and 2018-06-28,56,1,0,0.0,,
0001064728,peabody australia management services pty ltd,peabody energy corp,2006-03-06,1998-07-14,Between 2006-03-06 and 2007-02-28,67,0,0,0.0,,
0001276187,atoka midstream llc,energy transfer equity lp,2022-02-18,2005-12-20,Between 2022-02-18 and 2023-02-17,56,0,0,0.0,,
0001171825,cit clo holdings ii ltd,cit group inc,2009-03-02,2002-06-12,Between 2009-03-02 and 2010-03-16,48,0,0,0.0,,
0001407595,bbva bancomer servicios sa,bbva international preferred sa unipersonal,2008-02-15,2008-02-15,Active as of 2008-02-15,364,1,0,0.0,,
0000048465,hormel foods international corporation,hormel foods corp de,2002-01-25,2002-01-25,Between 2002-01-25 and 2003-01-24,32,0,0,0.0,,
0000091767,sonoco empaques ecuador sa a 100% owned foreign subsidiary,sonoco products co,2015-03-02,1994-03-30,Between 2015-03-02 and 2016-02-29,19,0,0,0.0,,
0000054480,rice carden corporation,kansas city southern industries inc,1994-03-22,1994-03-22,Between 1994-03-22 and 1995-03-22,61,0,0,0.0,,
0001156375,cme group asia holdings pteltd,cme group inc,2013-03-01,2002-03-28,Between 2013-03-01 and 2014-03-03,17,0,0,0.0,,
0001047378,howmet aluminum casting ltd,howmet international inc,2000-03-29,1997-10-09,Active as of 2000-03-29,3,0,0,0.0,,
0000101594,crested corp,us energy corp,1995-09-13,1995-09-13,Between 1995-09-13 and 1996-09-13,20,0,0,0.0,,
0000899051,nbinv af4 llc,allstate corp,2018-02-26,1997-03-27,Between 2018-02-26 and 2019-02-15,11,1,0,0.0,,
0000820027,american express property casualty insurance agency of mississippi inc,ameriprise financial inc,2006-03-08,2005-07-25,Between 2006-03-08 and 2007-02-27,30,0,0,0.0,,
0000818073,new benchmark computer systems (wisconsin) inc (wisconsin) preferred health,cusa technologies inc,1995-10-16,1995-10-16,Active as of 1995-10-16,14,0,0,0.0,,
0001662972,ah housing fund 1484 lp and 1 subsidiary,blackstone real estate income trust inc,2023-05-16,2016-08-10,Between 2023-05-16 and 2024-03-28,745,0,0,0.0,,
0001345126,arnold investments ltd,compass diversified holdings,2013-03-06,2007-03-13,Between 2013-03-06 and 2015-03-02,22,1,0,0.0,,
0000711039,maxtor receivables corporation,maxtor corp,2001-05-29,1994-06-24,Between 2001-05-29 and 2002-03-29,20,0,0,0.0,,
0001267238,assurant barc reinsurance limited,assurant inc,2016-02-16,2003-12-10,Between 2016-02-16 and 2017-02-14,14,0,0,0.0,,
0000809697,united parcel service of america,united parcel service of america inc,1996-04-01,1994-03-30,Between 1996-04-01 and 1997-03-28,57,1,0,0.0,,
0000926660,aimco bradford llc,aimco properties lp,2003-03-25,1998-06-22,Between 2003-03-25 and 2004-03-15,1454,1,0,0.0,,
0001395317,compex switzerland srl,djo finance llc,2008-03-28,2008-03-28,Between 2008-03-28 and 2009-03-11,35,0,0,0.0,,
0000899689,rahway leasing corporation,vornado realty trust,1995-03-23,1995-03-23,Between 1995-03-23 and 1996-03-28,90,0,0,0.0,,
0000070858,tristar communications inc,bank of america corp de,1999-03-22,1994-03-30,Between 1999-03-22 and 2000-03-20,1011,0,0,0.0,,
0001332349,ahc villas wynwood of courtyard albany llc,brookdale senior living inc,2007-03-16,2005-09-21,Between 2007-03-16 and 2008-02-29,367,0,0,0.0,,
0001758488,osw soho llc,onespaworld holdings ltd,2020-03-30,2019-01-22,Between 2020-03-30 and 2021-03-10,42,0,0,0.0,,
0000091388,stefano foods inc,smithfield foods inc,2002-07-29,1996-07-18,Between 2002-07-29 and 2003-07-23,91,0,0,0.0,,
0000043920,greif venezuela holding ca,greif brothers corp,2004-01-22,1995-01-18,Between 2004-01-22 and 2005-01-11,69,0,0,0.0,,
0001688568,es shared service center societa per azioni,dxc technology co,2022-05-26,2017-02-14,Between 2022-05-26 and 2023-05-19,29,0,0,0.0,,
0000017109,legal communications corporation,capital cities abc inc ny,1994-03-30,1994-03-30,Active as of 1994-03-30,171,0,0,0.0,,
0000085388,hre twelve oaks inc,rouse company,2004-03-09,1996-03-05,Between 2004-03-09 and 2005-03-31,58,0,0,0.0,,
0000887969,tecnonet srl,mrv communications inc,2002-03-21,1998-02-12,Between 2002-03-21 and 2003-03-28,9,0,0,0.0,,
0000775662,essick & barr inc,first leesport bancorp inc,1999-03-31,1996-03-28,Between 1999-03-31 and 2000-04-11,1,0,0,0.0,,
0001164727,normandy latin america holdings limited,newmont corp de,2002-03-27,2002-03-27,Between 2002-03-27 and 2003-03-27,344,0,0,0.0,,
0001476150,terreno 10 avenue llc,terreno realty corp,2011-02-24,2010-03-29,Between 2011-02-24 and 2012-02-22,10,0,0,0.0,,
0001465128,spt wah wentworth i llc,starwood property trust inc,2016-02-25,2010-03-08,Between 2016-02-25 and 2017-02-23,84,0,0,0.0,,
0000858877,cisco navini networks llc,cisco systems inc,2008-09-15,1995-10-26,Between 2008-09-15 and 2009-09-11,35,0,0,0.0,,
0001142470,genie financial solutions inc,standard havens inc,2004-01-22,2001-06-14,Active as of 2004-01-22,100,1,0,0.0,,
0000051644,lowe vietnam,interpublic group of companies inc,2004-03-15,1994-03-30,Between 2004-03-15 and 2005-09-30,287,0,0,0.0,,
0000769589,amax copper inc,cyprus amax minerals co,1997-03-26,1994-03-29,Between 1997-03-26 and 1998-03-30,78,0,0,0.0,,
0001099735,tribune (fn) cable ventures llc,gracenote inc,2016-03-24,2016-03-24,Active as of 2016-03-24,215,1,0,0.0,,
0000003972,allied products uk limited,allied tube & conduit corp,2011-06-03,2011-06-03,Active as of 2011-06-03,23,1,0,0.0,,
0001122976,burton rubber company,polyone corp,2002-04-12,2001-03-28,Between 2002-04-12 and 2003-03-27,4,0,0,0.0,,
0000916076,kent sand & gravel company llc,martin marietta materials inc,2019-02-25,1997-03-25,Between 2019-02-25 and 2020-02-21,13,0,0,0.0,,
0001368007,bfe debenture company n1 limited,nyse euronext inc,2006-10-30,2006-10-30,Between 2006-10-30 and 2007-05-01,104,0,0,0.0,,
0000931182,eqr lombard llc,erp operating ltd partnership,2009-02-26,1997-03-24,Between 2009-02-26 and 2010-02-25,828,1,0,0.0,,
0001273801,n star rel cdo ix ltd,northstar realty,2014-08-19,2004-10-21,Between 2014-08-19 and 2015-03-02,14,0,0,0.0,,
0001813756,625 west adams street tenant llc,wework inc,2021-10-26,2021-10-26,Between 2021-10-26 and 2023-03-29,763,0,0,0.0,,
0001478242,iqvia solutions finance uk i limited,iqvia holdings inc,2018-02-16,2013-02-15,Between 2018-02-16 and 2018-05-04,150,0,0,0.0,,
0000740260,propco ca partner iv llc,ventas inc,2018-02-09,1996-03-29,Between 2018-02-09 and 2019-02-08,333,0,0,0.0,,
0000817135,mths corporation,alliance healthcare services inc,1998-03-31,1997-08-15,Between 1998-03-31 and 1999-03-30,8,0,0,0.0,,
0001002638,wnl limited,open text corp,2023-08-03,2003-09-29,Between 2023-08-03 and 2024-08-01,177,0,0,0.0,,
0000866374,vastbright pcb (holding) ltd,flextronics international ltd,2001-06-29,1996-06-28,Between 2001-06-29 and 2002-05-03,167,0,0,0.0,,
0000051644,ksl media inc,interpublic group of companies inc,2002-04-01,1994-03-30,Between 2002-04-01 and 2002-06-03,592,1,0,0.0,,
0001696355,zhuhai hengqin kaidi education consulting co ltd,bright scholar education holdings ltd,2018-02-02,2017-04-18,Between 2018-02-02 and 2018-02-23,16,0,0,0.0,,
0000055067,kellogg el salvador ltda de cv,kellogg co,2019-02-25,1995-03-28,Between 2019-02-25 and 2020-02-24,54,0,0,0.0,,
0001021860,nov international holding llc,national oilwell varco inc,2023-02-14,1996-08-29,Between 2023-02-14 and 2024-02-14,10,0,0,0.0,,
0000051253,protein technologies international development llc,international flavors & fragrances inc,2021-02-22,1997-03-31,Between 2021-02-22 and 2022-02-28,205,0,0,0.0,,
0000042888,alco valves limited,graco inc,2015-02-17,1995-03-22,Between 2015-02-17 and 2016-02-16,15,0,0,0.0,,
0001439095,mrc global (caspian) llp,mrc global inc,2018-02-16,2008-09-26,Between 2018-02-16 and 2019-02-15,6,0,0,0.0,,
0001528059,arc dgtrytx001 llc,arc properties operating partnership lp,2014-08-01,2014-08-01,Between 2014-08-01 and 2015-03-30,2240,1,0,0.0,,
0001633931,di purchaser inc,topbuild corp,2022-02-22,2015-05-21,Between 2022-02-22 and 2024-02-28,21,0,0,0.0,,
0000749251,cfo forum australia pty ltd,gartner inc,2018-02-22,1996-12-17,Between 2018-02-22 and 2019-02-22,62,1,0,0.0,,
0000051253,bush boake allen espana sa,international flavors & fragrances inc,2001-03-30,1997-03-31,Between 2001-03-30 and 2002-03-27,99,1,0,0.0,,
0001551182,eaton electric (south africa) pty ltd,eaton corp plc,2013-02-28,2012-06-22,Between 2013-02-28 and 2013-09-06,483,1,0,0.0,,
0000074208,dco bennett development lp,udr inc,2008-02-26,2002-03-29,Between 2008-02-26 and 2009-02-26,37,1,0,0.0,,
0000813471,jason holding gmbh,jason inc,1999-03-17,1997-03-27,Between 1999-03-17 and 2000-03-29,22,1,0,0.0,,
0000064907,sangamon investment company,mercantile bancorporation inc,1996-03-08,1996-03-08,Between 1996-03-08 and 1997-02-20,116,0,0,0.0,,
0000064670,medtronic instent inc,medtronic inc,1996-07-24,1994-07-27,Between 1996-07-24 and 1997-07-23,36,0,0,0.0,,
0000886982,hgp san mateo owner llc,goldman sachs group inc,2020-02-21,1998-08-24,Between 2020-02-21 and 2021-02-22,24,0,0,0.0,,
0001159297,agi llc,meadwestvaco corp,2003-03-03,2002-03-18,Between 2003-03-03 and 2004-02-27,16,1,0,0.0,,
0000215466,mexico resources llc,coeur mining inc,2013-02-21,1996-02-29,Between 2013-02-21 and 2013-09-13,7,0,0,0.0,,
0000895930,gastroenterology associates endoscopy center llc,amsurg corp,2009-02-26,1997-03-11,Between 2009-02-26 and 2010-02-25,36,1,0,0.0,,
0000033213,appalachian basin partners lp,equitable resources inc pa,2003-03-03,1994-03-24,Between 2003-03-03 and 2004-03-01,9,0,0,0.0,,
0000076267,dielektra (hk) limited,park electrochemical corp,1998-05-29,1998-05-29,Between 1998-05-29 and 1999-05-27,21,0,0,0.0,,
0001237941,hayes lemmerz werke verwaltungs gmbh,hayes lemmerz international inc,2003-07-31,2003-07-31,Between 2003-07-31 and 2004-04-12,78,1,0,0.0,,
